Time (d), O2 MC1 (%), CO2 MC1 (%), Time (d), O2 MC2 (%), CO2 MC2 (%), pH MC2, DO MC2 (uM), Time (d), O2 MC3 (%), CO2 MC3 (%), Time (d), O2 MC4 (%), CO2 MC4 (%), Time (d), O2 MC5 (%), CO2 MC5 (%), pH MC5, DO MC5 (uM), Time (d), O2 MC6 (%), CO2 MC6 (%)
3.20499,21.04,6.30E-02,3.20647,21.04,6.30E-02,7.24,195.18,3.20793,21.04,5.50E-02,3.20938,21.04,5.90E-02,3.21086,21.04,5.30E-02,7.38,265.66,3.21231,21.04,5.30E-02
3.24668,21.03,7.30E-02,3.24817,21.03,7.10E-02,7.25,195.88,3.24962,21.02,6.30E-02,3.25106,21.02,6.30E-02,3.25256,21.04,6.30E-02,7.39,265.61,3.254,21.04,6.30E-02
3.28838,21.03,6.30E-02,3.28987,21.02,6.30E-02,7.25,195.47,3.29132,21.04,5.70E-02,3.29277,21.04,6.30E-02,3.29425,21.04,6.30E-02,7.39,265.96,3.29571,21.02,5.90E-02
3.33007,21.04,6.30E-02,3.33156,21.03,6.30E-02,7.26,194.59,3.33301,21.02,5.40E-02,3.33446,21.02,5.40E-02,3.33595,21.03,5.50E-02,7.4,265.61,3.3374,21.02,5.30E-02
3.37177,21.03,6.70E-02,3.37326,21.02,7.00E-02,7.26,194.71,3.37471,21.03,6.20E-02,3.37616,21.03,6.00E-02,3.37765,21.02,6.00E-02,7.4,266.25,3.3791,21.03,6.00E-02
3.41347,21.05,6.30E-02,3.41495,21.03,6.30E-02,7.26,194.65,3.41641,21.04,5.40E-02,3.41786,21.03,5.40E-02,3.41934,21.03,5.30E-02,7.4,265.61,3.4208,21.05,5.30E-02
3.45517,21.03,6.30E-02,3.45666,21.02,6.30E-02,7.27,195.53,3.4581,21.03,5.50E-02,3.45955,21.03,5.30E-02,3.46104,21.03,5.40E-02,7.41,265.61,3.46249,21.03,5.30E-02
3.49686,21.04,5.90E-02,3.49836,21.04,6.90E-02,7.27,195.41,3.4998,21.04,6.00E-02,3.50125,21.04,6.00E-02,3.50274,21.04,6.60E-02,7.4,265.55,3.50419,21.05,5.90E-02
3.53856,21.04,5.40E-02,3.54005,21.04,6.30E-02,7.26,195.12,3.5415,21.04,5.80E-02,3.54295,21.04,5.40E-02,3.54443,21.05,5.60E-02,7.4,266.19,3.54588,21.05,5.30E-02
3.58025,21.04,7.20E-02,3.58172,21.03,7.20E-02,7.27,193.89,3.58317,21.03,6.20E-02,3.58462,21.03,6.60E-02,3.58608,21.02,6.60E-02,7.45,263.73,3.58753,21.03,6.30E-02
3.62201,21.04,5.60E-02,3.62348,21.03,6.60E-02,7.26,193.42,3.62493,21.03,6.60E-02,3.62637,21.04,5.90E-02,3.62784,21.04,6.60E-02,7.44,263.85,3.62928,21.04,5.60E-02
3.66376,21.04,6.20E-02,3.66523,21.02,6.80E-02,7.26,193.18,3.66668,21.03,6.30E-02,3.66811,21.04,6.20E-02,3.66958,21.03,6.40E-02,7.43,263.5,3.67103,21.04,5.40E-02
3.70552,21.05,6.30E-02,3.707,21.04,6.30E-02,7.26,193.12,3.70846,21.04,5.50E-02,3.70991,21.05,6.30E-02,3.71139,21.04,6.30E-02,7.41,262.09,3.71285,21.04,5.30E-02
3.74722,21.06,6.30E-02,3.7487,21.04,6.30E-02,7.25,192.77,3.75015,21.05,6.30E-02,3.7516,21.06,5.30E-02,3.75309,21.05,5.40E-02,7.42,262.15,3.75454,21.05,5.30E-02
3.78891,21.04,5.50E-02,3.79041,21.02,6.30E-02,7.26,192.3,3.79185,21.04,5.90E-02,3.7933,21.03,5.60E-02,3.79479,21.03,6.30E-02,7.41,263.79,3.79624,21.03,5.50E-02
3.83061,21.04,6.00E-02,3.83209,21.03,6.30E-02,7.26,192.3,3.83355,21.04,5.30E-02,3.835,21.04,5.30E-02,3.83648,21.04,6.00E-02,7.42,263.61,3.83794,21.05,5.30E-02
3.8723,21.04,6.30E-02,3.8738,21.02,7.30E-02,7.25,192.71,3.87524,21.03,6.40E-02,3.87669,21.04,6.30E-02,3.87818,21.03,6.50E-02,7.41,262.15,3.87963,21.03,6.30E-02
3.914,21.05,5.30E-02,3.9155,21.03,6.00E-02,7.24,192.54,3.91694,21.02,5.30E-02,3.91839,21.03,5.30E-02,3.91987,21.02,6.30E-02,7.41,262.38,3.92133,21.02,5.30E-02
3.95569,21.03,5.30E-02,3.95719,21.01,5.80E-02,7.25,192.6,3.95863,21.02,5.30E-02,3.96008,21.03,5.30E-02,3.96157,21.02,5.40E-02,7.41,263.85,3.96302,21.02,4.70E-02
3.9974,21.03,6.20E-02,3.99888,21.02,7.20E-02,7.25,192.89,4.00034,21.03,6.20E-02,4.00177,21.04,5.20E-02,4.00326,21.03,6.20E-02,7.4,263.91,4.00471,21.02,6.20E-02
4.03909,21.04,6.30E-02,4.04057,21.03,7.30E-02,7.24,192.77,4.04203,21.02,6.30E-02,4.04347,21.04,5.60E-02,4.04495,21.03,6.30E-02,7.39,262.38,4.0464,21.03,5.40E-02
4.08078,21.03,6.10E-02,4.08226,21.03,6.20E-02,7.24,192.07,4.08372,21.02,5.90E-02,4.08515,21.03,5.30E-02,4.08663,21.02,5.90E-02,7.4,263.91,4.08808,21.02,5.30E-02
4.12245,21.03,5.30E-02,4.12394,21.02,6.30E-02,7.23,192.42,4.12539,21.03,5.30E-02,4.12684,21.04,5.30E-02,4.12832,21.03,5.40E-02,7.4,263.38,4.12978,21.03,4.80E-02
4.16416,21.04,5.60E-02,4.16564,21.03,6.60E-02,7.23,192.66,4.16709,21.03,5.60E-02,4.16853,21.04,4.60E-02,4.17002,21.03,5.70E-02,7.39,263.91,4.17147,21.03,4.90E-02
